city,sna,sarea,tot_quantity,sbi_quantity,bemp,lat,lng,update_time_display,load_factor,status_color,scrape_time
New Taipei,YouBike2.0_安溪國小,三峽區,28,14,14,24.93122,121.37265,20260615T205802,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_介壽國小,三峽區,26,10,16,24.93026,121.37912,20260615T211403,38.46153846153847,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_安溪國中,三峽區,20,0,20,24.92638,121.37185,20260525T131718,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三峽國光青年社會住宅,三峽區,30,19,11,24.93743,121.37686,20260615T210703,63.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三峽區公所(三峽老街),三峽區,33,8,25,24.9339,121.36929,20260615T211102,24.242424242424242,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中園國小,三峽區,20,4,16,24.927562225588048,121.3667403505291,20260615T210703,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_復興民生街口,三峽區,32,12,20,24.936959752151225,121.37339809342711,20260615T211203,37.5,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三峽國中,三峽區,33,12,21,24.9389,121.369,20260615T211403,36.36363636363637,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_海洋公園,三峽區,25,3,22,24.94776,121.37676,20260615T205802,12.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍埔國小,三峽區,45,11,34,24.94104,121.37676,20260615T211203,24.444444444444443,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_國立臺北大學(三峽校區),三峽區,99,15,84,24.94594,121.3729,20260615T211403,15.151515151515152,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三鶯國民運動中心,三峽區,17,11,3,24.93697,121.36858,20260615T211004,64.70588235294117,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學(音律資訊大樓),三峽區,78,14,64,24.94278,121.36992,20260615T211403,17.94871794871795,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學體育館,三峽區,44,20,22,24.93974,121.36688,20260615T211403,45.45454545454545,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中華愛國路口,三峽區,10,4,6,24.9327,121.37462,20260615T205103,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中山科學研究院,三峽區,14,7,7,24.90328,121.35512,20260615T175716,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_學成大義路口(學成路一),三峽區,13,5,8,24.94477,121.37803,20260615T211304,38.46153846153847,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍埔三樹路98巷口,三峽區,42,11,31,24.93989,121.38393,20260615T203904,26.190476190476193,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三峽區礁溪行政中心,三峽區,24,10,14,24.92843,121.37592,20260615T211004,41.66666666666667,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_新北市客家文化園區,三峽區,39,13,25,24.94207,121.36034,20260615T210505,33.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍恩公園,三峽區,26,11,15,24.94135,121.37052,20260615T211102,42.30769230769231,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍埔公園,三峽區,35,4,31,24.93841,121.3742,20260615T211004,11.428571428571429,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大智中山路口,三峽區,20,10,10,24.93708,121.36059,20260615T211403,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_明德高中,三峽區,52,23,28,24.90742,121.36472,20260615T205702,44.230769230769226,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_學府大學路口,三峽區,18,9,9,24.94779,121.3718,20260615T211131,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_學府大德路口,三峽區,12,4,7,24.94864,121.37362,20260615T205603,33.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大德學勤路口,三峽區,15,8,6,24.94634,121.37506,20260615T211403,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_學勤大觀路口,三峽區,15,3,12,24.94584,121.3743,20260615T210902,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_學成大德路口,三峽區,19,9,10,24.94334,121.37634,20260615T211203,47.368421052631575,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三樹大德路口,三峽區,15,7,8,24.94163,121.37871,20260615T211403,46.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大義三樹路口,三峽區,14,6,8,24.94357,121.37899,20260615T210302,42.857142857142854,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中園國小(民權街),三峽區,19,8,10,24.92853,121.36767,20260615T211403,42.10526315789473,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三峽國小(中山路),三峽區,21,8,13,24.93474,121.36779,20260615T204701,38.095238095238095,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學宿舍(學成路),三峽區,36,16,20,24.94092,121.36856,20260615T211403,44.44444444444444,green,2026-06-15 21:17:53
